key	value
ITEM_MESHLINK_CAPE_NAME	Meshlink Cape
ITEM_MESHLINK_CAPE_DESCRIPTION	Evasive and light.
ITEM_SAGECALLER_CAPE_NAME	Sagecaller Cape
ITEM_SAGECALLER_CAPE_DESCRIPTION	Brimming with magical power.
ITEM_COBBLERAGE_CLOAK_NAME	Cobblerage Cloak
ITEM_COBBLERAGE_CLOAK_DESCRIPTION	You feel strong like a golem wearing this.
ITEM_DEATHWARD_CAPE_NAME	Deathward Cape
ITEM_DEATHWARD_CAPE_DESCRIPTION	You can hear the laughter from the skull motif.
ITEM_INITIATE_CLOAK_NAME	Initiate Cloak
ITEM_INITIATE_CLOAK_DESCRIPTION	New beginnings.
ITEM_NOKKET_CLOAK_NAME	Nokket Cloak
ITEM_NOKKET_CLOAK_DESCRIPTION	
ITEM_RUGGED_CLOAK_NAME	Rugged Cloak
ITEM_RUGGED_CLOAK_DESCRIPTION	
ITEM_AERO_TOP_NAME	Aero Top
ITEM_AERO_TOP_DESCRIPTION	Common clothing worn by Byrdles.
ITEM_BUNHOST_GARB_NAME	Bunhost Garb
ITEM_BUNHOST_GARB_DESCRIPTION	
ITEM_FESTIVE_COAT_NAME	Festive Coat
ITEM_FESTIVE_COAT_DESCRIPTION	Tis the season...
ITEM_LEATHER_TOP_NAME	Leather Top
ITEM_LEATHER_TOP_DESCRIPTION	Common clothing worn by Poons.
ITEM_NECRO_MARROW_NAME	Necro Marrow
ITEM_NECRO_MARROW_DESCRIPTION	Common clothing worn by Imps.
ITEM_NOBLE_SHIRT_NAME	Noble Shirt
ITEM_NOBLE_SHIRT_DESCRIPTION	
ITEM_NUTSO_TOP_NAME	Nutso Top
ITEM_NUTSO_TOP_DESCRIPTION	Common clothing worn by Chang.
ITEM_SAGECLOTH_TOP_NAME	Sagecloth Top
ITEM_SAGECLOTH_TOP_DESCRIPTION	Common clothing worn by Kubolds.
ITEM_SILKEN_TOP_NAME	Silken Top
ITEM_SILKEN_TOP_DESCRIPTION	Ancient silk cloth. This could've been around since the very beginning of time...
ITEM_TEST_CHESTPIECE_NAME	Test Chestpiece
ITEM_TEST_CHESTPIECE_DESCRIPTION	Used to test texturing.
ITEM_VAMPIRIC_COAT_NAME	Vampiric Coat
ITEM_VAMPIRIC_COAT_DESCRIPTION	
ITEM_DUELIST_GARB_NAME	Duelist Garb
ITEM_DUELIST_GARB_DESCRIPTION	
ITEM_TATTERED_BATTLEROBE_NAME	Tattered Battlerobe
ITEM_TATTERED_BATTLEROBE_DESCRIPTION	
ITEM_WARRIOR_CHEST_NAME	Warrior Chest
ITEM_WARRIOR_CHEST_DESCRIPTION	
ITEM_SLEEPERS_ROBE_NAME	Sleeper's Robe
ITEM_SLEEPERS_ROBE_DESCRIPTION	So tired...
ITEM_LORD_BREASTPLATE_NAME	Lord Breastplate
ITEM_LORD_BREASTPLATE_DESCRIPTION	Hail the Lord!
ITEM_REAPSOW_GARB_NAME	Reapsow Garb
ITEM_REAPSOW_GARB_DESCRIPTION	Fear the hidden.
ITEM_WITCHLOCK_ROBE_NAME	Witchlock Robe
ITEM_WITCHLOCK_ROBE_DESCRIPTION	Robe of the elite occult.
ITEM_GOLEM_CHESTPIECE_NAME	Golem Chestpiece
ITEM_GOLEM_CHESTPIECE_DESCRIPTION	
ITEM_NETHERCRYPT_TABARD_NAME	Nethercrypt Tabard
ITEM_NETHERCRYPT_TABARD_DESCRIPTION	
ITEM_ORNAMENTED_BATTLEROBE_NAME	Ornamented Battlerobe
ITEM_ORNAMENTED_BATTLEROBE_DESCRIPTION	
ITEM_MERCENARY_VESTMENT_NAME	Mercenary Vestment
ITEM_MERCENARY_VESTMENT_DESCRIPTION	
ITEM_MITHRIL_CHESTPIECE_NAME	Mithril Chestpiece
ITEM_MITHRIL_CHESTPIECE_DESCRIPTION	
ITEM_CARBUNCLE_ROBE_NAME	Carbuncle Robe
ITEM_CARBUNCLE_ROBE_DESCRIPTION	The patterns on the cloth make an audible hum if you listen closely.
ITEM_FORTIFIED_VESTMENT_NAME	Fortified Vestment
ITEM_FORTIFIED_VESTMENT_DESCRIPTION	
ITEM_CHAINSCALE_CHEST_NAME	Chainscale Chest
ITEM_CHAINSCALE_CHEST_DESCRIPTION	
ITEM_GEMVEIL_RAIMENT_NAME	Gemveil Raiment
ITEM_GEMVEIL_RAIMENT_DESCRIPTION	Dazzling gems flicker on this loose but defensive chestpiece.
ITEM_KING_BREASTPLATE_NAME	King Breastplate
ITEM_KING_BREASTPLATE_DESCRIPTION	Bend the knee, to the King!
ITEM_MONOLITH_CHESTPIECE_NAME	Monolith Chestpiece
ITEM_MONOLITH_CHESTPIECE_DESCRIPTION	
ITEM_REAPER_GI_NAME	Reaper Gi
ITEM_REAPER_GI_DESCRIPTION	Worn by undead assassins.
ITEM_WITCHWIZARD_ROBE_NAME	Witchwizard Robe
ITEM_WITCHWIZARD_ROBE_DESCRIPTION	Robe of the higher elite occult.
ITEM_SLIMECRUST_CHEST_NAME	Slimecrust Chest
ITEM_SLIMECRUST_CHEST_DESCRIPTION	Cracked and ravaged by slime.
ITEM_WORN_ROBE_NAME	Worn Robe
ITEM_WORN_ROBE_DESCRIPTION	Definitely been worn many times.
ITEM_CHAINMAIL_GUARD_NAME	Chainmail Guard
ITEM_CHAINMAIL_GUARD_DESCRIPTION	
ITEM_BERSERKER_CHESTPIECE_NAME	Berserker Chestpiece
ITEM_BERSERKER_CHESTPIECE_DESCRIPTION	
ITEM_FUGUEFALL_DUSTER_NAME	Fuguefall Duster
ITEM_FUGUEFALL_DUSTER_DESCRIPTION	
ITEM_MAGILORD_OVERALLS_NAME	Magilord Overalls
ITEM_MAGILORD_OVERALLS_DESCRIPTION	Devout mystic sages of ancient times worn these in ceremonies.
ITEM_JOURNEYMAN_VEST_NAME	Journeyman Vest
ITEM_JOURNEYMAN_VEST_DESCRIPTION	
ITEM_POACHER_CLOTH_NAME	Poacher Cloth
ITEM_POACHER_CLOTH_DESCRIPTION	Slightly veiled.
ITEM_GHOSTLY_TABARD_NAME	Ghostly Tabard
ITEM_GHOSTLY_TABARD_DESCRIPTION	
ITEM_CRYPTSINGE_CHEST_NAME	Cryptsinge Chest
ITEM_CRYPTSINGE_CHEST_DESCRIPTION	
ITEM_SLIMEK_CHEST_NAME	Slimek Chest
ITEM_SLIMEK_CHEST_DESCRIPTION	Sturdy enough to widthstand some further damage.
ITEM_IRON_CHESTPIECE_NAME	Iron Chestpiece
ITEM_IRON_CHESTPIECE_DESCRIPTION	
ITEM_AERO_PANTS_NAME	Aero Pants
ITEM_AERO_PANTS_DESCRIPTION	Common clothing worn by Byrdles.
ITEM_BUNHOST_LEGGINGS_NAME	Bunhost Leggings
ITEM_BUNHOST_LEGGINGS_DESCRIPTION	
ITEM_FESTIVE_TROUSERS_NAME	Festive Trousers
ITEM_FESTIVE_TROUSERS_DESCRIPTION	Merry pantsmas!
ITEM_LEATHER_BRITCHES_NAME	Leather Britches
ITEM_LEATHER_BRITCHES_DESCRIPTION	Common clothing worn by Poons.
ITEM_NECRO_CAUSTICS_NAME	Necro Caustics
ITEM_NECRO_CAUSTICS_DESCRIPTION	Common clothing worn by Imps.
ITEM_NOBLE_PANTS_NAME	Noble Pants
ITEM_NOBLE_PANTS_DESCRIPTION	
ITEM_NUTSO_PANTS_NAME	Nutso Pants
ITEM_NUTSO_PANTS_DESCRIPTION	Common clothing worn by Changs.
ITEM_SAGECLOTH_SHORTS_NAME	Sagecloth Shorts
ITEM_SAGECLOTH_SHORTS_DESCRIPTION	Common clothing worn by Kubolds.
ITEM_SILKEN_LOINCLOTH_NAME	Silken Loincloth
ITEM_SILKEN_LOINCLOTH_DESCRIPTION	Ancient loincloth.
ITEM_TEST_PANTS_NAME	Test Pants
ITEM_TEST_PANTS_DESCRIPTION	Used to view texturing.
ITEM_VAMPIRIC_LEGGINGS_NAME	Vampiric Leggings
ITEM_VAMPIRIC_LEGGINGS_DESCRIPTION	
ITEM_SASH_LEGGINGS_NAME	Sash Leggings
ITEM_SASH_LEGGINGS_DESCRIPTION	Tight.
ITEM_WARRIOR_LEGGINGS_NAME	Warrior Leggings
ITEM_WARRIOR_LEGGINGS_DESCRIPTION	
ITEM_LORD_GREAVES_NAME	Lord Greaves
ITEM_LORD_GREAVES_DESCRIPTION	Your pants, sire?
ITEM_REAPSOW_PANTS_NAME	Reapsow Pants
ITEM_REAPSOW_PANTS_DESCRIPTION	
ITEM_WITCHLOCK_LOINCLOTH_NAME	Witchlock Loincloth
ITEM_WITCHLOCK_LOINCLOTH_DESCRIPTION	
ITEM_CHAINMAIL_LEGGINGS_NAME	Chainmail Leggings
ITEM_CHAINMAIL_LEGGINGS_DESCRIPTION	
ITEM_MERCENARY_LEGGINGS_NAME	Mercenary Leggings
ITEM_MERCENARY_LEGGINGS_DESCRIPTION	
ITEM_DARKCLOTH_PANTS_NAME	Darkcloth Pants
ITEM_DARKCLOTH_PANTS_DESCRIPTION	
ITEM_STRIDEBOND_PANTS_NAME	Stridebond Pants
ITEM_STRIDEBOND_PANTS_DESCRIPTION	
ITEM_KING_GREAVES_NAME	King Greaves
ITEM_KING_GREAVES_DESCRIPTION	Your pants, my liege?
ITEM_REAPER_LEGGINGS_NAME	Reaper Leggings
ITEM_REAPER_LEGGINGS_DESCRIPTION	
ITEM_WITCHWIZARD_GARTERBELT_NAME	Witchwizard Garterbelt
ITEM_WITCHWIZARD_GARTERBELT_DESCRIPTION	
ITEM_SLIMECRUST_LEGGINGS_NAME	Slimecrust Leggings
ITEM_SLIMECRUST_LEGGINGS_DESCRIPTION	Drenched in slime.
ITEM_BERSERKER_LEGGINGS_NAME	Berserker Leggings
ITEM_BERSERKER_LEGGINGS_DESCRIPTION	
ITEM_FUGUEFALL_PANTS_NAME	Fuguefall Pants
ITEM_FUGUEFALL_PANTS_DESCRIPTION	
ITEM_MAGILORD_BOOTS_NAME	Magilord Boots
ITEM_MAGILORD_BOOTS_DESCRIPTION	Keeps the toes warm.
ITEM_GHOSTLY_LEGWRAPS_NAME	Ghostly Legwraps
ITEM_GHOSTLY_LEGWRAPS_DESCRIPTION	Wearing these make your legs feel numb.
ITEM_JOURNEYMAN_SHORTS_NAME	Journeyman Shorts
ITEM_JOURNEYMAN_SHORTS_DESCRIPTION	
ITEM_SLIMEK_LEGGINGS_NAME	Slimek Leggings
ITEM_SLIMEK_LEGGINGS_DESCRIPTION	Drenched in Slimek slime.
ITEM_JOURNEYMAN_LEGGINGS_NAME	Journeyman Leggings
ITEM_JOURNEYMAN_LEGGINGS_DESCRIPTION	
ITEM_WOODEN_SHIELD_NAME	Wooden Shield
ITEM_WOODEN_SHIELD_DESCRIPTION	
ITEM_IRIS_SHIELD_NAME	Iris Shield
ITEM_IRIS_SHIELD_DESCRIPTION	Invoker of arcane tears.
ITEM_OMEN_SHIELD_NAME	Omen Shield
ITEM_OMEN_SHIELD_DESCRIPTION	Something's intimidating about the design.
ITEM_NETHERCRYPT_SHIELD_NAME	Nethercrypt Shield
ITEM_NETHERCRYPT_SHIELD_DESCRIPTION	Emblem of the twisted nether realm.
ITEM_MITHRIL_SHIELD_NAME	Mithril Shield
ITEM_MITHRIL_SHIELD_DESCRIPTION	
ITEM_RUSTWEARY_SHIELD_NAME	Rustweary Shield
ITEM_RUSTWEARY_SHIELD_DESCRIPTION	The face is worried.
ITEM_RUSTWISE_SHIELD_NAME	Rustwise Shield
ITEM_RUSTWISE_SHIELD_DESCRIPTION	The face is confident.
ITEM_CRYPT_BUCKLER_NAME	Crypt Buckler
ITEM_CRYPT_BUCKLER_DESCRIPTION	Used by ancient warriors of the past.
ITEM_DEMICRYPT_BUCKLER_NAME	Demicrypt Buckler
ITEM_DEMICRYPT_BUCKLER_DESCRIPTION	An emblem of an ancient sarcophogus.
ITEM_IRON_SHIELD_NAME	Iron Shield
ITEM_IRON_SHIELD_DESCRIPTION	
ITEM_OLD_RING_NAME	Old Ring
ITEM_OLD_RING_DESCRIPTION	
ITEM_RING_OF_AMBITION_NAME	Ring Of Ambition
ITEM_RING_OF_AMBITION_DESCRIPTION	Something strikes you about this ring.
ITEM_TEST_RING_NAME	Test Ring
ITEM_TEST_RING_DESCRIPTION	It was once possible to get this. If you have it, you must've been around for a while...
ITEM_GEISTLORD_RING_NAME	Geistlord Ring
ITEM_GEISTLORD_RING_DESCRIPTION	Whispers of Zuulneruda's memories echo and reverberate inside your soul.
ITEM_STUDENTS_RING_NAME	Students Ring
ITEM_STUDENTS_RING_DESCRIPTION	Excelsior!
ITEM_PEARLPOND_RING_NAME	Pearlpond Ring
ITEM_PEARLPOND_RING_DESCRIPTION	The pearls chime, providing a peace of mind and clarity.
ITEM_SLITHERWRAITH_RING_NAME	Slitherwraith Ring
ITEM_SLITHERWRAITH_RING_DESCRIPTION	Slither through and past the doors.
ITEM_ORBOS_RING_NAME	Orbos Ring
ITEM_ORBOS_RING_DESCRIPTION	
ITEM_JADETROUT_RING_NAME	Jadetrout Ring
ITEM_JADETROUT_RING_DESCRIPTION	The tail of the fish on this ring moves rapidly.
ITEM_VALOR_RING_NAME	Valor Ring
ITEM_VALOR_RING_DESCRIPTION	
ITEM_GEISTLORD_BAND_NAME	Geistlord Band
ITEM_GEISTLORD_BAND_DESCRIPTION	Whispers of Kaluuz's memories echo and reverberate inside your soul.
ITEM_EARTHWOKEN_RING_NAME	Earthwoken Ring
ITEM_EARTHWOKEN_RING_DESCRIPTION	The gems glimmer much like the gems of a Colossus.
ITEM_AMBERSQUIRE_RING_NAME	Ambersquire Ring
ITEM_AMBERSQUIRE_RING_DESCRIPTION	Tough as nails.
ITEM_EMERALDFOCUS_RING_NAME	Emeraldfocus Ring
ITEM_EMERALDFOCUS_RING_DESCRIPTION	The emerald glistens even from afar.
ITEM_SAPPHIREWEAVE_RING_NAME	Sapphireweave Ring
ITEM_SAPPHIREWEAVE_RING_DESCRIPTION	Sounds of the ocean waves through your ears.
ITEM_WOOD_DAGGERS_NAME	Wood Daggers
ITEM_WOOD_DAGGERS_DESCRIPTION	
ITEM_RUNIC_KATARS_NAME	Runic Katars
ITEM_RUNIC_KATARS_DESCRIPTION	Forged by a sadistic being of torture.
ITEM_GEISTLORD_CLAWS_NAME	Geistlord Claws
ITEM_GEISTLORD_CLAWS_DESCRIPTION	Shreds through the wailing souls.
ITEM_HELLSLUDGE_SHIVS_NAME	Hellsludge Shivs
ITEM_HELLSLUDGE_SHIVS_DESCRIPTION	Hot, hot, hot to the touch!
ITEM_MITHRIL_KATARS_NAME	Mithril Katars
ITEM_MITHRIL_KATARS_DESCRIPTION	
ITEM_SERRATED_KNUCKLES_NAME	Serrated Knuckles
ITEM_SERRATED_KNUCKLES_DESCRIPTION	
ITEM_FROSTBITE_CLAWS_NAME	Frostbite Claws
ITEM_FROSTBITE_CLAWS_DESCRIPTION	Cold to the touch...
ITEM_GOLEMFIST_KATARS_NAME	Golemfist Katars
ITEM_GOLEMFIST_KATARS_DESCRIPTION	Pow!
ITEM_SLIMECRUST_KATARS_NAME	Slimecrust Katars
ITEM_SLIMECRUST_KATARS_DESCRIPTION	Iron Katars that have been dulled by slime.
ITEM_SLIMEK_SHIVS_NAME	Slimek Shivs
ITEM_SLIMEK_SHIVS_DESCRIPTION	These ears of a Slimek seem to be usable for combat...
ITEM_DEATHGEL_SHIVS_NAME	Deathgel Shivs
ITEM_DEATHGEL_SHIVS_DESCRIPTION	Rotted, deadly Deathgel ears.
ITEM_IRON_KATARS_NAME	Iron Katars
ITEM_IRON_KATARS_DESCRIPTION	
ITEM_WOODEN_BOW_NAME	Wooden Bow
ITEM_WOODEN_BOW_DESCRIPTION	
ITEM_MENACE_BOW_NAME	Menace Bow
ITEM_MENACE_BOW_DESCRIPTION	You feel a surge of swiftness holding this bow.
ITEM_PETRIFIED_BOW_NAME	Petrified Bow
ITEM_PETRIFIED_BOW_DESCRIPTION	Lost souls of the damned are welded to this bow.
ITEM_NECROROYAL_BOW_NAME	Necroroyal Bow
ITEM_NECROROYAL_BOW_DESCRIPTION	
ITEM_MITHRIL_BOW_NAME	Mithril Bow
ITEM_MITHRIL_BOW_DESCRIPTION	
ITEM_SERRATED_LONGBOW_NAME	Serrated Longbow
ITEM_SERRATED_LONGBOW_DESCRIPTION	Sharp and twisted. Fires arrows that pierce.
ITEM_COLDGEIST_BOW_NAME	Coldgeist Bow
ITEM_COLDGEIST_BOW_DESCRIPTION	Ruination of the lost frozen souls.
ITEM_CRYPT_BOW_NAME	Crypt Bow
ITEM_CRYPT_BOW_DESCRIPTION	Glue-like soot keeps the bones together.
ITEM_DEMICRYPT_BOW_NAME	Demicrypt Bow
ITEM_DEMICRYPT_BOW_DESCRIPTION	The bones holding this bow together seem fresh.
ITEM_IRON_BOW_NAME	Iron Bow
ITEM_IRON_BOW_DESCRIPTION	
ITEM_MEKSPIKE_BOW_NAME	Mekspike Bow
ITEM_MEKSPIKE_BOW_DESCRIPTION	The construct of this bow is similar of a Mekboar.
ITEM_WOOD_SWORD_NAME	Wood Sword
ITEM_WOOD_SWORD_DESCRIPTION	
ITEM_DAWN_MACE_NAME	Dawn Mace
ITEM_DAWN_MACE_DESCRIPTION	Clubbed to death.
ITEM_RUDE_BLADE_NAME	Rude Blade
ITEM_RUDE_BLADE_DESCRIPTION	Don't you have anything better to kill?
ITEM_VILE_BLADE_NAME	Vile Blade
ITEM_VILE_BLADE_DESCRIPTION	A Rude Blade, but more... vile.
ITEM_NETHERCRYPT_BLADE_NAME	Nethercrypt Blade
ITEM_NETHERCRYPT_BLADE_DESCRIPTION	Twisted, infused with nether magic.
ITEM_MITHRIL_SWORD_NAME	Mithril Sword
ITEM_MITHRIL_SWORD_DESCRIPTION	
ITEM_SERRATED_BLADE_NAME	Serrated Blade
ITEM_SERRATED_BLADE_DESCRIPTION	
ITEM_COLDGEIST_BLADE_NAME	Coldgeist Blade
ITEM_COLDGEIST_BLADE_DESCRIPTION	Forged from corrupted frost, formally used by ancient sages.
ITEM_SLIMECRUST_BLADE_NAME	Slimecrust Blade
ITEM_SLIMECRUST_BLADE_DESCRIPTION	Looks to be an Iron Sword, but the blade is intensely dulled by slime.
ITEM_CRYPT_BLADE_NAME	Crypt Blade
ITEM_CRYPT_BLADE_DESCRIPTION	The sharped blade was a bone of a madman.
ITEM_GILDED_SWORD_NAME	Gilded Sword
ITEM_GILDED_SWORD_DESCRIPTION	Looks to have a worn out blade, but still sharp enough for it to do some damage.
ITEM_IRON_SWORD_NAME	Iron Sword
ITEM_IRON_SWORD_DESCRIPTION	
ITEM_DEMICRYPT_BLADE_NAME	Demicrypt Blade
ITEM_DEMICRYPT_BLADE_DESCRIPTION	Whispers of the dead are sealed in this sword.
ITEM_WOOD_HAMMER_NAME	Wood Hammer
ITEM_WOOD_HAMMER_DESCRIPTION	
ITEM_CRYPT_POUNDER_NAME	Crypt Pounder
ITEM_CRYPT_POUNDER_DESCRIPTION	Made with the bones of sinners.
ITEM_STONE_GREATBLADE_NAME	Stone Greatblade
ITEM_STONE_GREATBLADE_DESCRIPTION	
ITEM_POLTERGEIST_SCYTHE_NAME	Poltergeist Scythe
ITEM_POLTERGEIST_SCYTHE_DESCRIPTION	The highest tier of a Geist's scythe.
ITEM_MITHRIL_GREATSWORD_NAME	Mithril Greatsword
ITEM_MITHRIL_GREATSWORD_DESCRIPTION	
ITEM_DEADWOOD_AXE_NAME	Deadwood Axe
ITEM_DEADWOOD_AXE_DESCRIPTION	This was wedged deep into a Deadwood. Origins of the cause is a mystery.
ITEM_COLDGEIST_PUNISHER_NAME	Coldgeist Punisher
ITEM_COLDGEIST_PUNISHER_DESCRIPTION	The blade of the axe is forever frigid.
ITEM_QUAKE_PUMMELER_NAME	Quake Pummeler
ITEM_QUAKE_PUMMELER_DESCRIPTION	Smash them all into oblivion.
ITEM_MINI_GEIST_SCYTHE_NAME	Mini Geist Scythe
ITEM_MINI_GEIST_SCYTHE_DESCRIPTION	The only best friend of a Mini Geist. The blade emanates menacingly.
ITEM_SLIMEK_AXEHAMMER_NAME	Slimek Axehammer
ITEM_SLIMEK_AXEHAMMER_DESCRIPTION	An Iron Axehammer that's seen better days. It's a little bit of a challenge to maintain a grip on this thing.
ITEM_IRON_AXEHAMMER_NAME	Iron Axehammer
ITEM_IRON_AXEHAMMER_DESCRIPTION	
ITEM_GEIST_SCYTHE_NAME	Geist Scythe
ITEM_GEIST_SCYTHE_DESCRIPTION	The souls of the damned resonate within the blade.
ITEM_MEKSPEAR_NAME	Mekspear
ITEM_MEKSPEAR_DESCRIPTION	A usable partisan with a Mekboar's spear attached to it.
ITEM_SINNER_BARDICHE_NAME	Sinner Bardiche
ITEM_SINNER_BARDICHE_DESCRIPTION	Blood of the sinners coat this weapon.
ITEM_NECROROYAL_HALBERD_NAME	Necroroyal Halberd
ITEM_NECROROYAL_HALBERD_DESCRIPTION	Used by the royal guard of the undead.
ITEM_MITHRIL_HALBERD_NAME	Mithril Halberd
ITEM_MITHRIL_HALBERD_DESCRIPTION	
ITEM_RAGESPEAR_NAME	Ragespear
ITEM_RAGESPEAR_DESCRIPTION	The tip of the spear looks bloody, but it appears to be a corrosive material.
ITEM_SERRATED_SPEAR_NAME	Serrated Spear
ITEM_SERRATED_SPEAR_DESCRIPTION	
ITEM_WOOD_SPEAR_NAME	Wood Spear
ITEM_WOOD_SPEAR_DESCRIPTION	
ITEM_IRON_SPEAR_NAME	Iron Spear
ITEM_IRON_SPEAR_DESCRIPTION	
ITEM_CRYPTSINGE_HALBERD_NAME	Cryptsinge Halberd
ITEM_CRYPTSINGE_HALBERD_DESCRIPTION	Poke and prod the undead into submission.
ITEM_WOOD_SCEPTER_NAME	Wood Scepter
ITEM_WOOD_SCEPTER_DESCRIPTION	
ITEM_CRYO_CANE_NAME	Cryo Cane
ITEM_CRYO_CANE_DESCRIPTION	Let them freeze.
ITEM_SLIME_DIVA_BATON_NAME	Slime Diva Baton
ITEM_SLIME_DIVA_BATON_DESCRIPTION	Only a Slime Diva can truly maximize the full potential of this Scepter.
ITEM_PYRE_CANE_NAME	Pyre Cane
ITEM_PYRE_CANE_DESCRIPTION	Let them burn.
ITEM_WIZWAND_NAME	Wizwand
ITEM_WIZWAND_DESCRIPTION	Electrifying.
ITEM_NETHERCRYPT_BAUBLE_NAME	Nethercrypt Bauble
ITEM_NETHERCRYPT_BAUBLE_DESCRIPTION	It's hard to comprehend how terrible the malformed skull is.
ITEM_MITHRIL_SCEPTER_NAME	Mithril Scepter
ITEM_MITHRIL_SCEPTER_DESCRIPTION	
ITEM_AQUAPETAL_STAFF_NAME	Aquapetal Staff
ITEM_AQUAPETAL_STAFF_DESCRIPTION	
ITEM_FLAMEPETAL_STAFF_NAME	Flamepetal Staff
ITEM_FLAMEPETAL_STAFF_DESCRIPTION	
ITEM_SPLITBARK_SCEPTER_NAME	Splitbark Scepter
ITEM_SPLITBARK_SCEPTER_DESCRIPTION	Warmth eminates from the bright white gems.
ITEM_MARROW_BAUBLE_NAME	Marrow Bauble
ITEM_MARROW_BAUBLE_DESCRIPTION	Who's skull is this?
ITEM_IRON_SCEPTER_NAME	Iron Scepter
ITEM_IRON_SCEPTER_DESCRIPTION	
ITEM_DEMICRYPT_BAUBLE_NAME	Demicrypt Bauble
ITEM_DEMICRYPT_BAUBLE_DESCRIPTION	The skull doesn't seem real.
ITEM_CRYPTCALL_BELL_NAME	Cryptcall Bell
ITEM_CRYPTCALL_BELL_DESCRIPTION	The bell tolls for the dead.
ITEM_MITHRIL_BELL_NAME	Mithril Bell
ITEM_MITHRIL_BELL_DESCRIPTION	
ITEM_COLDGEIST_FROSTCALLER_NAME	Coldgeist Frostcaller
ITEM_COLDGEIST_FROSTCALLER_DESCRIPTION	Used to awaken Geistlords with its spine chilling tone.
ITEM_COLOSSUS_TONE_NAME	Colossus Tone
ITEM_COLOSSUS_TONE_DESCRIPTION	Pieces of a Colossus are embedded into this bell.
ITEM_WOODEN_BELL_NAME	Wooden Bell
ITEM_WOODEN_BELL_DESCRIPTION	The weapon is made of wood, but it chimes as if it's metal.
ITEM_IRON_BELL_NAME	Iron Bell
ITEM_IRON_BELL_DESCRIPTION	
ITEM_TOME_OF_THE_BANDIT_NAME	Tome of the Bandit
ITEM_TOME_OF_THE_BANDIT_DESCRIPTION	<color=lime>Can only be used in a Safe Zone.</color>\n\nReading this tome teaches you to be the <color=lime>nimble Bandit class.</color> Additionally resets and reimburses your Skill Points. Not reversible. 
ITEM_TOME_OF_THE_FIGHTER_NAME	Tome of the Fighter
ITEM_TOME_OF_THE_FIGHTER_DESCRIPTION	<color=lime>Can only be used in a Safe Zone.</color>\n\nReading this tome teaches you to be the <color=red>fierce Fighter class.</color> Additionally resets and reimburses your Skill Points. Not reversible.
ITEM_TOME_OF_THE_MYSTIC_NAME	Tome of the Mystic
ITEM_TOME_OF_THE_MYSTIC_DESCRIPTION	<color=lime>Can only be used in a Safe Zone.</color>\n\nReading this tome teaches you to be the <color=cyan>wise Mystic class.</color> Additionally resets and reimburses your Skill Points. Not reversible.
ITEM_BLUE_DYE_NAME	Blue Dye
ITEM_BLUE_DYE_DESCRIPTION	A vial of blue dye. Use it to make your gear dye color blue.
ITEM_GREEN_DYE_NAME	Green Dye
ITEM_GREEN_DYE_DESCRIPTION	A vial of green dye. Use it to make your gear dye color green.
ITEM_GREY_DYE_NAME	Grey Dye
ITEM_GREY_DYE_DESCRIPTION	A vial of grey dye. Use it to make your gear dye color grey.
ITEM_RED_DYE_NAME	Red Dye
ITEM_RED_DYE_DESCRIPTION	A vial of red dye. Use it to make your gear dye color red.
ITEM_SKILL_SCROLL_ALACRITY_NAME	Skill Scroll (Alacrity)
ITEM_SKILL_SCROLL_ALACRITY_DESCRIPTION	Teaches the user Alacrity.
ITEM_SKILL_SCROLL_CRYO_NEEDLE_NAME	Skill Scroll (Cryo Needle)
ITEM_SKILL_SCROLL_CRYO_NEEDLE_DESCRIPTION	Teaches the user Cryo Needle.
ITEM_SKILL_SCROLL_EXECUTE_NAME	Skill Scroll (Execute)
ITEM_SKILL_SCROLL_EXECUTE_DESCRIPTION	Teaches the user Execute.
ITEM_SKILL_SCROLL_FIREBALL_NAME	Skill Scroll (Fireball)
ITEM_SKILL_SCROLL_FIREBALL_DESCRIPTION	Teaches the user Fireball.
ITEM_SKILL_SCROLL_INNER_FOCUS_NAME	Skill Scroll (Inner Focus)
ITEM_SKILL_SCROLL_INNER_FOCUS_DESCRIPTION	Teaches the user Inner Focus.
ITEM_SKILL_SCROLL_LEG_UP_NAME	Skill Scroll (Leg Up)
ITEM_SKILL_SCROLL_LEG_UP_DESCRIPTION	Teaches the user Leg Up.
ITEM_SKILL_SCROLL_SIPHON_LEECH_NAME	Skill Scroll (Siphon Leech)
ITEM_SKILL_SCROLL_SIPHON_LEECH_DESCRIPTION	Teaches the user Siphon Leech.
ITEM_SKILL_SCROLL_SPIRE_NAME	Skill Scroll (Spire)
ITEM_SKILL_SCROLL_SPIRE_DESCRIPTION	Teaches the user Spire.
ITEM_SKILL_SCROLL_SPREAD_SHOT_NAME	Skill Scroll (Spread Shot)
ITEM_SKILL_SCROLL_SPREAD_SHOT_DESCRIPTION	Teaches the user Spread Shot.
ITEM_SKILL_SCROLL_STURDY_NAME	Skill Scroll (Sturdy)
ITEM_SKILL_SCROLL_STURDY_DESCRIPTION	Teaches the user Sturdy.
ITEM_SKILL_SCROLL_BELL_MASTERY_NAME	Skill Scroll (Bell Mastery)
ITEM_SKILL_SCROLL_BELL_MASTERY_DESCRIPTION	Teaches the user Bell Mastery.
ITEM_SKILL_SCROLL_HEAVY_MELEE_MASTERY_NAME	Skill Scroll (Heavy Melee Mastery)
